ed,ct_adams,ct_cuomo,ct_lander,ct_ramos,ct_blake,ct_prince,ct_stringer,ct_bartholomew,ct_writein,ct_tilson,ct_myrie,ct_mamdani,ct_total_votes,pct_mamdani,pct_cuomo,pct_lander,pct_adams,pct_stringer,pct_myrie,pct_ramos,pct_blake,pct_prince,pct_tilson,pct_bartholomew,pct_writein,tied,num_top_candidates,winner,winner_name_full,NTAName
26028,4,88,15,0,0,0,2,0,1,2,0,74,186,0.3978494623655914,0.4731182795698925,0.080645161,0.021505376344086023,0.010752688172043012,0,0,0,0,0.010752688172043012,0,0.005376344,no,1,cuomo,Andrew Cuomo,Bayside
26029,2,53,5,0,0,0,1,0,0,1,2,56,120,0.4666666666666667,0.44166666666666665,0.041666666666666664,0.016666666666666666,0.008333333,0.016666666666666666,0,0,0,0.008333333,0,0,no,1,mamdani,Zohran Mamdani,Bayside
26030,0,2,0,0,0,0,0,0,0,0,0,1,3,0.3333333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,no,1,cuomo,Andrew Cuomo,Bayside
26031,8,105,15,1,1,1,6,0,0,0,1,81,219,0.3698630136986301,0.4794520547945205,0.068493151,0.03652968,0.02739726,0.00456621,0.00456621,0.00456621,0.00456621,0,0,0,no,1,cuomo,Andrew Cuomo,Bayside
26032,10,77,20,0,1,1,1,3,1,1,0,105,220,0.4772727272727273,0.35,0.090909091,0.045454545454545456,0.004545455,0,0,0.004545455,0.004545455,0.004545455,0.013636363636363636,0.004545455,no,1,mamdani,Zohran Mamdani,Bayside
26033,7,83,41,0,0,0,1,0,1,4,0,97,234,0.41452991452991456,0.3547008547008547,0.1752136752136752,0.029914529914529916,0.004273504,0,0,0,0,0.017094017094017096,0,0.004273504,no,1,mamdani,Zohran Mamdani,Bayside
26034,6,92,19,2,0,2,6,1,1,3,0,84,216,0.3888888888888889,0.42592592592592593,0.087962963,0.027777777777777776,0.027777777777777776,0,0.009259259,0,0.009259259,0.013888888888888888,0.00462963,0.00462963,no,1,cuomo,Andrew Cuomo,Bayside
26035,9,56,19,1,0,3,4,0,0,5,1,61,159,0.3836477987421384,0.3522012578616352,0.11949685534591195,0.056603774,0.025157232704402517,0.006289308,0.006289308,0,0.018867924528301886,0.031446540880503145,0,0,no,1,mamdani,Zohran Mamdani,Bayside
26036,12,83,23,2,1,0,10,1,1,3,2,75,213,0.352112676,0.38967136150234744,0.107981221,0.056338028169014086,0.046948356807511735,0.009389671,0.009389671,0.004694836,0,0.014084507042253521,0.004694836,0.004694836,no,1,cuomo,Andrew Cuomo,Bayside
26037,8,77,11,1,1,0,7,0,0,2,2,49,158,0.310126582,0.4873417721518987,0.069620253,0.050632911,0.044303797,0.012658227848101266,0.006329114,0.006329114,0,0.012658227848101266,0,0,no,1,cuomo,Andrew Cuomo,Bayside
26038,4,214,34,2,1,0,17,1,0,1,1,50,325,0.15384615384615385,0.6584615384615384,0.10461538461538461,0.012307692307692308,0.052307692307692305,0.003076923,0.006153846,0.003076923,0,0.003076923,0.003076923,0,no,1,cuomo,Andrew Cuomo,Bay Terrace-Clearview
26039,6,69,13,0,0,0,3,0,0,2,1,41,135,0.3037037037037037,0.5111111111111111,0.096296296,0.044444444444444446,0.022222222222222223,0.007407407,0,0,0,0.014814814814814815,0,0,no,1,cuomo,Andrew Cuomo,Bay Terrace-Clearview
26040,5,86,7,0,1,0,4,0,4,4,0,42,153,0.27450980392156865,0.5620915032679739,0.045751634,0.032679738562091505,0.026143790849673203,0,0,0.006535948,0,0.026143790849673203,0,0.026143790849673203,no,1,cuomo,Andrew Cuomo,Bay Terrace-Clearview
26041,18,206,47,2,3,0,13,0,2,3,1,80,375,0.21333333333333335,0.5493333333333333,0.12533333333333332,0.048,0.034666666666666665,0.002666667,0.005333333,0.008,0,0.008,0,0.005333333,no,1,cuomo,Andrew Cuomo,Bay Terrace-Clearview
